# evidence_class: simulated_first_article_for_evt_planning_not_production_release
# companion_to: fixture-calibration-results-template.csv
# note: scaffold template is regenerated blank by generate_e1_phone_cad.py; this companion file holds simulated EVT1 calibration data
fixture_id,calibration_case_id,gauge_id,calibration_standard_id,required_standard_artifacts,controlled_measurement_ids,calibrated_by,calibration_date,as_found_error,as_left_error,pass,certificate_id,notes
evt_fixture_button_force_probe,button_force_probe_load_cell_and_travel,FUTEK-LSB200-10N-SN24178,NIST-TRACEABLE-MASS-A2LA-2025-11,load_cell_weight_certificate;dial_indicator_block_certificate;probe_axis_alignment_photo,power_button_actuation_force;power_button_travel;volume_button_actuation_force,Lin Wei (IQC-04),2026-05-04,+0.04 N / +0.018 mm,+0.01 N / +0.005 mm,true,A2LA-CAL-2026-05-04-0117,Calibrated against 2.000 N traceable mass and 0.500 mm gauge block.
evt_fixture_usb_c_insertion_gauge,usb_c_insertion_gauge_axis_and_force,GCT-USB4105-GAUGE-SN0042,NIST-TRACEABLE-PLUG-A2LA-2025-09,usb_c_plug_gauge_certificate;port_axis_alignment_record;force_gauge_certificate,usb_c_insertion_force_no_rub,Chen Min (S2-OP-07),2026-05-04,0.06 mm TIR / +0.3 N,0.03 mm TIR / +0.1 N,true,A2LA-CAL-2026-05-04-0118,GCT USB4105 reference plug; Mark-10 ESM303 force stand.
evt_fixture_screen_bond_clamp_frame,screen_bond_clamp_flatness_and_gap,MITUTOYO-184-303S-SN8821,NIST-TRACEABLE-GRANITE-A2LA-2025-10,granite_plate_certificate;feeler_gauge_certificate;compression_witness_shim_record,screen_adhesive_compression;display_fpc_bend_radius,Chen Min (S2-OP-07),2026-05-05,0.03 mm flat / +0.015 mm gap,0.02 mm flat / +0.005 mm gap,true,A2LA-CAL-2026-05-05-0119,Grade A granite reference; 0.045 mm witness shim verified.
evt_fixture_rear_camera_alignment_pin,rear_camera_alignment_pin_datum,STARRETT-PIN-3.5MM-SN1107,NIST-TRACEABLE-PIN-A2LA-2025-08,camera_window_datum_drawing;cmm_or_comparator_report;pin_diameter_certificate,rear_camera_lens_center_error,Zhao Qiang (S4-OP-03),2026-05-05,0.025 mm offset,0.012 mm offset,true,A2LA-CAL-2026-05-05-0120,Zeiss Contura CMM verified.
evt_fixture_front_camera_alignment_pin,front_camera_alignment_pin_datum,STARRETT-PIN-2.0MM-SN1108,NIST-TRACEABLE-PIN-A2LA-2025-08,front_glass_aperture_datum_drawing;cmm_or_comparator_report;pin_diameter_certificate,front_camera_under_glass_center_error,Zhao Qiang (S4-OP-03),2026-05-05,0.022 mm offset,0.010 mm offset,true,A2LA-CAL-2026-05-05-0121,Front aperture under-glass datum.
evt_fixture_bottom_acoustic_leak_mask,bottom_acoustic_leak_mask_seal,BK-4231-CAL-SN5520,NIST-TRACEABLE-ACOUSTIC-A2LA-2025-12,flatness_plate_certificate;leak_reference_orifice_certificate;acoustic_calibrator_certificate,bottom_audio_leak_delta,Sun Min (QC-FA-02),2026-05-06,0.35 dB delta,0.18 dB delta,true,A2LA-CAL-2026-05-06-0122,B&K 4231 pistonphone at 94 dB SPL.
evt_fixture_earpiece_leak_mask,earpiece_acoustic_leak_mask_seal,BK-4231-CAL-SN5520,NIST-TRACEABLE-ACOUSTIC-A2LA-2025-12,flatness_plate_certificate;leak_reference_orifice_certificate;acoustic_calibrator_certificate,handset_receiver_leak_delta,Sun Min (QC-FA-02),2026-05-06,0.40 dB delta,0.22 dB delta,true,A2LA-CAL-2026-05-06-0123,Receiver gasket reference fixture.
evt_fixture_button_force_probe,button_force_probe_load_cell_recheck_postuse,FUTEK-LSB200-10N-SN24178,NIST-TRACEABLE-MASS-A2LA-2025-11,load_cell_weight_certificate;repeatability_record,power_button_actuation_force;volume_button_actuation_force,Lin Wei (IQC-04),2026-05-11,+0.02 N,+0.01 N,true,A2LA-CAL-2026-05-11-0131,Post-100-unit recheck.
evt_fixture_usb_c_insertion_gauge,usb_c_insertion_gauge_recheck_postuse,GCT-USB4105-GAUGE-SN0042,NIST-TRACEABLE-PLUG-A2LA-2025-09,usb_c_plug_gauge_certificate,usb_c_insertion_force_no_rub,Chen Min (S2-OP-07),2026-05-11,0.04 mm TIR / +0.2 N,0.02 mm TIR / +0.1 N,true,A2LA-CAL-2026-05-11-0132,Post-build recheck.
evt_fixture_screen_bond_clamp_frame,screen_bond_clamp_recheck_postuse,MITUTOYO-184-303S-SN8821,NIST-TRACEABLE-GRANITE-A2LA-2025-10,granite_plate_certificate;feeler_gauge_certificate,screen_adhesive_compression,Chen Min (S2-OP-07),2026-05-11,0.025 mm flat / +0.010 mm gap,0.018 mm flat / +0.004 mm gap,true,A2LA-CAL-2026-05-11-0133,Witness-shim verified after 30-unit run.
